,Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Voce se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentacao,Iniciacao Científica,Extensão
777,CRP,30005766,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,A,Estudante em abandono de curso                    ,F,46.0,0,"560,32",9,N,a. Branco(a).,e. Entre 7 e 10 Salarios Minimos,publica,N,N,N,N,N
778,CRP,30005775,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,2,C,Conclusao                                      ,F,32.0,"70,1","563,38",9,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
791,CRP,30005894,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,0,A,Estudante em abandono de curso                    ,F,35.0,"47,8","613,02",9,N,a. Branco(a).,a. ate 1 Salario Minimo,publica,S,N,N,N,N
800,CRP,30005921,105,Sistemas de Informacao - Noturno,2016,1,Y,Processo Seletivo Alternativo - SiSU              ,2016.0,1,C,Conclusao                                      ,F,29.0,"72,6","554,2",9,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,Privada,N,N,N,N,N
803,CRP,30005927,105,Sistemas de Informacao - Noturno,2016,1,Y,Processo Seletivo Alternativo - SiSU              ,2016.0,2,A,Estudante em abandono de curso                    ,F,32.0,"27,2","556,06",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
937,CRP,30006348,105,Sistemas de Informacao - Noturno,2017,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,1,A,Estudante em abandono de curso                    ,F,23.0,"61,5","631,78",9,N,c. Pardo(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
938,CRP,30006360,105,Sistemas de Informacao - Noturno,2017,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,23.0,"74,6","623,32",9,N,c. Pardo(a).,e. Entre 7 e 10 Salarios Minimos,Privada,N,N,N,N,N
939,CRP,30006368,105,Sistemas de Informacao - Noturno,2017,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,22.0,"65,3","577,24",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
940,CRP,30006373,105,Sistemas de Informacao - Noturno,2017,1,L,SISU - Sistema_de_Selecao_Unificada           ,2020.0,2,C,Conclusao                                      ,F,24.0,"80,4","612,62",9,N,d. Amarelo(a).,b. Entre 1 e 3 Salarios Minimos,Privada,N,N,N,N,N
941,CRP,30006378,105,Sistemas de Informacao - Noturno,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017.0,2,A,Estudante em abandono de curso                    ,F,27.0,"21,2","473,08",5,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
942,CRP,30006382,105,Sistemas de Informacao - Noturno,2017,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,D,Desligamento                                      ,F,25.0,"17,6","461,58",5,N,c. Pardo(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
943,CRP,30006387,105,Sistemas de Informacao - Noturno,2017,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,2,D,Desligamento                                      ,F,28.0,"25,8","428,96",3,N,a. Branco(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
