,Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Voce se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentacao,Iniciacao Científica,Extensão
2548,CRP,30004190,105,Sistemas de Informacao - Noturno,2014,1,Y,Processo Seletivo Alternativo - SiSU              ,2014.0,1,A,Estudante em abandono de curso                    ,M,28.0,0,"459,38",1,N,,,publica,N,N,N,N,N
2558,CRP,30004210,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,31.0,"39,4","581,92",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
2559,CRP,30004213,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,1,D,Desligamento                                      ,M,28.0,"51,4","620,82",9,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
2564,CRP,30004222,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,D,Desligamento                                      ,M,31.0,"35,5","593,9",9,N,a. Branco(a).,d. Entre 5 e 7 Salarios Minimos,Privada,N,N,N,N,N
2571,CRP,30004236,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,1,A,Estudante em abandono de curso                    ,M,31.0,"7,6","608,76",9,N,a. Branco(a).,d. Entre 5 e 7 Salarios Minimos,publica,S,N,N,N,N
2572,CRP,30004237,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,2,C,Conclusao                                      ,M,30.0,"57,6","587,52",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
2583,CRP,30004249,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,C,Conclusao                                      ,M,30.0,"65,8","562,72",3,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
2584,CRP,30004250,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,D,Desligamento                                      ,M,32.0,35,"561,98",7,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
2586,CRP,30004254,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,A,Estudante em abandono de curso                    ,M,31.0,"64,1","569,06",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2587,CRP,30004255,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,1,D,Desligamento                                      ,M,29.0,"27,9","563,62",9,N,d. Amarelo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,S,N
2600,CRP,30004280,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,2,A,Estudante em abandono de curso                    ,M,28.0,"7,6","551,04",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2604,CRP,30004289,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,29.0,"45,9","563,94",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
2605,CRP,30004290,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,A,Estudante em abandono de curso                    ,M,28.0,61,"557,22",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
2617,CRP,30004319,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,D,Desligamento                                      ,M,32.0,"22,4","545,64",7,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
2618,CRP,30004320,105,Sistemas de Informacao - Noturno,2014,1,Y,Processo Seletivo Alternativo - SiSU              ,2018.0,1,C,Conclusao                                      ,M,28.0,"64,4","529,92",5,N,d. Amarelo(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
2622,CRP,30004327,105,Sistemas de Informacao - Noturno,2014,1,Y,Processo Seletivo Alternativo - SiSU              ,2014.0,1,A,Estudante em abandono de curso                    ,M,25.0,0,"429,02",1,N,,,publica,N,N,N,N,N
2627,CRP,30004357,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,1,A,Estudante em abandono de curso                    ,M,32.0,"0,4","541,2",9,N,,,Privada,N,N,N,N,N
2632,CRP,30004366,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,, ,N,Normal                                            ,M,27.0,"64,1","535,94",7,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
2713,CRP,30004604,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,1,D,Desligamento                                      ,M,25.0,43,"642,82",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,Privada,N,N,N,N,N
2714,CRP,30004606,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,A,Estudante em abandono de curso                    ,M,25.0,"38,7","604,94",1,N,,,publica,N,N,N,N,N
2715,CRP,30004609,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,D,Desligamento                                      ,M,26.0,"34,3","625,7",9,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,Privada,N,N,N,N,N
2716,CRP,30004610,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,A,Estudante em abandono de curso                    ,M,24.0,"15,3","624,84",9,N,,,Privada,N,N,N,N,N
2717,CRP,30004611,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,2,C,Conclusao                                      ,M,25.0,70,"622,18",3,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2718,CRP,30004613,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,1,D,Desligamento                                      ,M,24.0,"25,3","549,92",5,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2719,CRP,30004614,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,1,D,Desligamento                                      ,M,25.0,0,"584,22",9,N,,,publica,N,N,N,N,N
2720,CRP,30004615,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,1,A,Estudante em abandono de curso                    ,M,24.0,"27,9","474,64",5,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2721,CRP,30004616,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,A,Estudante em abandono de curso                    ,M,24.0,"34,5","591,6",9,N,,,publica,N,N,N,N,N
2722,CRP,30004618,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,A,Estudante em abandono de curso                    ,M,24.0,"35,6","564,14",9,N,,,Privada,N,N,N,N,N
2723,CRP,30004619,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,D,Desligamento                                      ,M,27.0,"45,7","607,64",9,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2724,CRP,30004620,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,D,Desligamento                                      ,M,28.0,"35,5","359,7",5,N,b. Preto(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
2725,CRP,30004622,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,M,26.0,"59,7","520,52",1,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2726,CRP,30004624,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,2,D,Desligamento                                      ,M,24.0,"33,7","562,12",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2727,CRP,30004626,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,A,Estudante em abandono de curso                    ,M,27.0,"73,7","534,4",1,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2728,CRP,30004627,105,Sistemas de Informacao - Noturno,2015,1,Y,Processo Seletivo Alternativo - SiSU              ,2020.0,2,C,Conclusao                                      ,M,25.0,"61,7","512,12",7,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2729,CRP,30004629,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,A,Estudante em abandono de curso                    ,M,25.0,46,"544,3",3,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2730,CRP,30004631,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,M,25.0,"55,1","587,7",1,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2731,CRP,30004634,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,A,Estudante em abandono de curso                    ,M,25.0,"13,5","483,98",9,N,,,publica,N,N,N,N,N
2732,CRP,30004635,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,D,Desligamento                                      ,M,25.0,"2,8","513,32",9,N,,,publica,N,N,N,N,N
2733,CRP,30004636,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,1,A,Estudante em abandono de curso                    ,M,27.0,"0,3","513,02",9,N,,,publica,N,N,N,N,N
2734,CRP,30004637,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,1,D,Desligamento                                      ,M,31.0,"38,5","497,14",9,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2735,CRP,30004638,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,A,Estudante em abandono de curso                    ,M,26.0,"4,8","459,76",1,N,,,publica,N,N,N,N,N
2736,CRP,30004639,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,A,Estudante em abandono de curso                    ,M,24.0,"54,4","554,62",1,N,c. Pardo(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
2737,CRP,30004641,105,Sistemas de Informacao - Noturno,2015,1,Y,Processo Seletivo Alternativo - SiSU              ,2017.0,2,A,Estudante em abandono de curso                    ,M,27.0,"47,1","440,48",1,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2738,CRP,30004642,105,Sistemas de Informacao - Noturno,2015,1,Y,Processo Seletivo Alternativo - SiSU              ,2016.0,2,D,Desligamento                                      ,M,26.0,"8,6","436,72",9,N,,,publica,N,N,N,N,N
2739,CRP,30004643,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,29.0,"61,8","561,22",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2740,CRP,30004646,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,A,Estudante em abandono de curso                    ,M,25.0,37,"569,34",9,N,a. Branco(a).,d. Entre 5 e 7 Salarios Minimos,publica,N,N,N,N,N
2741,CRP,30004649,105,Sistemas de Informacao - Noturno,2015,1,V,Vestibular                                        ,2019.0,1,C,Conclusao                                      ,M,24.0,"80,8","49,104",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2742,CRP,30004650,105,Sistemas de Informacao - Noturno,2015,1,V,Vestibular                                        ,, ,N,Normal                                            ,M,24.0,"61,4","52,144",9,N,a. Branco(a).,d. Entre 5 e 7 Salarios Minimos,publica,N,N,N,N,N
2743,CRP,30004651,105,Sistemas de Informacao - Noturno,2015,1,V,Vestibular                                        ,2016.0,0,M,Mudanca de Curso                                  ,M,24.0,"27,3","52,576",1,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2744,CRP,30004652,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2020.0,4,C,Conclusao                                      ,M,25.0,"64,4","525,78",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2745,CRP,30004653,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,1,A,Estudante em abandono de curso                    ,M,24.0,"13,7","492,32",9,N,,,publica,N,N,N,N,N
2746,CRP,30004655,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,D,Desligamento                                      ,M,31.0,"13,4","525,84",9,N,,,publica,N,N,N,N,N
2747,CRP,30004657,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,24.0,"39,8","425,64",1,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2845,CRP,30005010,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,1,D,Desligamento                                      ,M,34.0,"43,3","628,02",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
2851,CRP,30005025,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,A,Estudante em abandono de curso                    ,M,27.0,"39,1","608,42",9,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
2857,CRP,30005034,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,D,Desligamento                                      ,M,31.0,"37,3","596,82",9,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
2865,CRP,30005047,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,1,D,Desligamento                                      ,M,33.0,"51,6","579,72",7,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
2892,CRP,30005096,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,A,Estudante em abandono de curso                    ,M,36.0,"61,6","543,74",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,Privada,S,N,N,N,N
2895,CRP,30005101,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,1,A,Estudante em abandono de curso                    ,M,28.0,"54,9","562,8",7,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2903,CRP,30005111,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,0,A,Estudante em abandono de curso                    ,M,28.0,"46,1","543,58",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
2914,CRP,30005145,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,1,D,Desligamento                                      ,M,28.0,"30,9","530,2",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
2920,CRP,30005163,105,Sistemas de Informacao - Noturno,2015,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,M,Mudanca de Curso                                  ,M,30.0,"52,7","481,1",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
2926,CRP,30005187,105,Sistemas de Informacao - Noturno,2015,1,Y,Processo Seletivo Alternativo - SiSU              ,,,N,Normal                                            ,M,26.0,"56,7","480,32",9,N,a. Branco(a).,e. Entre 7 e 10 Salarios Minimos,publica,N,N,N,N,N
2928,CRP,30005192,105,Sistemas de Informacao - Noturno,2015,1,Y,Processo Seletivo Alternativo - SiSU              ,2015.0,2,M,Mudanca de Curso                                  ,M,30.0,"49,1","443,1",1,N,b. Preto(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
3168,CRP,30005742,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,1,A,Estudante em abandono de curso                    ,M,25.0,"59,5","636,22",5,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
3169,CRP,30005743,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,A,Estudante em abandono de curso                    ,M,25.0,"48,3","645,6",9,N,b. Preto(a).,g. Entre 20 e 30 Salarios Minimos,Privada,N,N,N,N,N
3170,CRP,30005744,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,M,24.0,"65,3","608,52",7,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
3171,CRP,30005745,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,2,C,Conclusao                                      ,M,29.0,"85,1","606,8",5,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
3172,CRP,30005746,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,1,D,Desligamento                                      ,M,24.0,"36,8","626,66",9,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
3173,CRP,30005748,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,D,Desligamento                                      ,M,31.0,0,"623,38",9,N,,,publica,N,N,N,N,N
3174,CRP,30005749,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,A,Estudante em abandono de curso                    ,M,23.0,0,"574,42",7,N,,,publica,N,N,N,N,N
3175,CRP,30005750,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,M,25.0,"63,2","646,72",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,Privada,N,N,N,N,N
3176,CRP,30005751,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,2,C,Conclusao                                      ,M,25.0,"75,1","644,26",9,N,d. Amarelo(a).,d. Entre 5 e 7 Salarios Minimos,Privada,N,N,N,N,N
3177,CRP,30005752,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,1,D,Desligamento                                      ,M,28.0,"37,3","580,36",1,N,c. Pardo(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
3178,CRP,30005753,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,D,Desligamento                                      ,M,36.0,"40,5","619,34",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,Privada,N,N,N,N,N
3179,CRP,30005754,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,D,Desligamento                                      ,M,26.0,"41,9","606,72",3,N,,,publica,N,N,N,N,N
3180,CRP,30005756,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,D,Desligamento                                      ,M,27.0,"14,3","642,22",9,N,,,Privada,N,N,N,N,N
3181,CRP,30005759,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,A,Estudante em abandono de curso                    ,M,28.0,"6,8","455,56",3,N,,,publica,N,N,N,N,N
3182,CRP,30005761,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2020.0,4,C,Conclusao                                      ,M,27.0,"64,5",612,9,N,a. Branco(a).,a. ate 1 Salario Minimo,Privada,N,N,N,N,N
3183,CRP,30005762,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,M,26.0,"63,5","586,9",9,N,a. Branco(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
3184,CRP,30005763,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,A,Estudante em abandono de curso                    ,M,31.0,"7,6","535,18",5,N,,,publica,N,N,N,N,N
3185,CRP,30005764,105,Sistemas de Informacao - Noturno,2016,1,Y,Processo Seletivo Alternativo - SiSU              ,2019.0,0,A,Estudante em abandono de curso                    ,M,24.0,"48,6","546,88",9,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,Privada,N,N,N,N,N
3186,CRP,30005765,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,1,A,Estudante em abandono de curso                    ,M,23.0,"52,6","602,56",7,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
3187,CRP,30005767,105,Sistemas de Informacao - Noturno,2016,1,Y,Processo Seletivo Alternativo - SiSU              ,2017.0,2,D,Desligamento                                      ,M,30.0,"36,2","490,3",5,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
3188,CRP,30005768,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,M,26.0,"51,4","607,36",7,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
3189,CRP,30005769,105,Sistemas de Informacao - Noturno,2016,1,Y,Processo Seletivo Alternativo - SiSU              ,2019.0,2,C,Conclusao                                      ,M,24.0,"76,2","539,98",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
3190,CRP,30005770,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,A,Estudante em abandono de curso                    ,M,26.0,"37,4","517,66",1,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
3191,CRP,30005771,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,A,Estudante em abandono de curso                    ,M,26.0,"29,4","436,42",3,N,d. Amarelo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
3192,CRP,30005772,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,M,27.0,"58,6","524,24",5,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
3193,CRP,30005773,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,D,Desligamento                                      ,M,29.0,"11,2","588,66",9,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
3194,CRP,30005774,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,A,Estudante em abandono de curso                    ,M,23.0,"62,2","570,58",1,N,c. Pardo(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
3195,CRP,30005778,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,A,Estudante em abandono de curso                    ,M,31.0,"6,6","493,9",5,N,,,publica,N,N,N,N,N
3196,CRP,30005779,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,1,D,Desligamento                                      ,M,52.0,0,"509,52",3,N,,,publica,N,N,N,N,N
3197,CRP,30005780,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,2,A,Estudante em abandono de curso                    ,M,25.0,"62,3","513,08",3,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
3198,CRP,30005781,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,2,D,Desligamento                                      ,M,26.0,"45,9","549,3",1,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
3199,CRP,30005783,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,0,A,Estudante em abandono de curso                    ,M,25.0,"47,5","552,36",1,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
3200,CRP,30005785,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,A,Estudante em abandono de curso                    ,M,24.0,"59,6","528,46",1,N,b. Preto(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
3201,CRP,30005791,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,D,Desligamento                                      ,M,26.0,"22,8","636,46",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
3202,CRP,30005792,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2016.0,2,D,Desligamento                                      ,M,37.0,"29,4","610,98",7,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,S,N,N,N,N
3204,CRP,30005794,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2019.0,1,D,Desligamento                                      ,M,27.0,"65,5","649,34",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
3215,CRP,30005881,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2018.0,1,A,Estudante em abandono de curso                    ,M,29.0,"44,4","595,92",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,S,N,N,N,N
3218,CRP,30005884,105,Sistemas de Informacao - Noturno,2016,1,L,SISU - Sistema_de_Selecao_Unificada           ,2020.0,0,A,Estudante em abandono de curso                    ,M,25.0,52,"585,7",9,N,c. Pardo(a).,d. Entre 5 e 7 Salarios Minimos,publica,S,N,N,N,N
