Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Você se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentação,Iniciação Científica,Extensão
CRP,30007113,110,Ciências Biológicas,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,21,"67,3","536,66",9,N,a. Branco(a).,a. Até 1 Salário Mínimo,Privada,N,N,N,N,N
CRP,30007115,110,Ciências Biológicas,2018,1,L,SISU - Sistema de Seleção Unificada               ,2019,1,A,Estudante em abandono de curso                    ,F,24,"23,4","565,46",9,N,b. Preto(a).,a. Até 1 Salário Mínimo,Privada,N,N,N,N,N
CRP,30007118,110,Ciências Biológicas,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,21,"56,9","533,18",9,N,a. Branco(a).,d. Entre 5 e 7 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30007119,110,Ciências Biológicas,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,23,"36,2","532,12",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30007120,110,Ciências Biológicas,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,22,"56,8","494,86",3,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30007124,109,Ciências Contábeis,2018,1,Y,Processo Seletivo Alternativo - SiSU              ,,,N,Normal                                            ,F,24,"58,6","543,6",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30007128,109,Ciências Contábeis,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,21,"95,7","691,62",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30007131,109,Ciências Contábeis,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,23,"78,8","637,02",7,N,a. Branco(a).,e. Entre 7 e 10 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30007134,109,Ciências Contábeis,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,23,"70,7","554,78",1,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,N,N,N,N,N
CRP,30007135,109,Ciências Contábeis,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,21,"72,5","645,5",9,N,c. Pardo(a).,c. Entre 3 e 5 Salários Mínimos.,Privada,N,N,N,N,N
CRP,30007136,109,Ciências Contábeis,2018,1,L,SISU - Sistema de Seleção Unificada               ,2018,2,A,Estudante em abandono de curso                    ,F,22,"83,4","701,62",7,N,a. Branco(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30007137,109,Ciências Contábeis,2018,1,L,SISU - Sistema de Seleção Unificada               ,2019,2,A,Estudante em abandono de curso                    ,F,23,64,"629,96",5,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30007138,109,Ciências Contábeis,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,22,"84,2","615,52",3,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30007140,109,Ciências Contábeis,2018,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,22,"83,5","580,42",3,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30007141,109,Ciências Contábeis,2018,1,L,SISU - Sistema de Seleção Unificada               ,2018,1,A,Estudante em abandono de curso                    ,F,24,"33,4","611,44",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
